,STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Violent Crimes,Property Crimes,Total Crimes
649,West bengal,HOWRAH CITY,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
650,West bengal,HOWRAH G.R.P.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
651,West bengal,JALPAIGURI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
652,West bengal,KOLKATA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
653,West bengal,MALDA,2001,0,1,0,0,0,0,0,1,0,0,1,0,2
654,West bengal,MIDNAPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
655,West bengal,MURSHIDABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
656,West bengal,NADIA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
657,West bengal,PURULIA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
658,West bengal,SEALDAH G.R.P.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
659,West bengal,SILIGURI G.R.P.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
660,West bengal,UTTAR DINAJPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
661,A & n islands,ANDAMAN,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
662,A & n islands,NICOBAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
663,Chandigarh,CHANDIGARH,2001,0,1,0,0,0,0,0,2,0,0,1,0,3
664,D & n haveli,D and N HAVELI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
665,Daman & diu,DAMAN,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
666,Daman & diu,DIU,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
667,Delhi,CENTRAL,2001,0,0,0,0,0,0,0,1,0,0,0,0,1
668,Delhi,EAST,2001,0,0,0,0,0,0,0,3,0,0,0,0,3
669,Delhi,G.R.P.(RLY),2001,0,0,0,0,0,0,0,0,0,0,0,0,0
670,Delhi,I.G.I.AIRPORT,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
671,Delhi,NEW DELHI,2001,0,0,0,0,0,0,0,1,0,0,0,0,1
672,Delhi,NORTH,2001,0,0,0,0,0,0,0,2,0,0,0,0,2
673,Delhi,NORTH EAST,2001,0,0,0,0,0,0,0,0,2,0,0,0,2
674,Delhi,NORTH WEST,2001,0,0,0,0,0,0,0,2,0,0,0,0,2
675,Delhi,S.T.F.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
676,Delhi,SOUTH,2001,0,0,0,0,0,0,0,4,0,0,0,0,4
677,Delhi,SOUTH WEST,2001,0,0,0,0,0,0,0,4,0,0,0,0,4
678,Delhi,WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
679,Lakshadweep,LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
680,Puducherry,PONDICHERRY,2001,0,0,0,0,0,0,0,0,13,0,0,0,13
681,Andhra pradesh,ADILABAD,2002,0,2,0,0,0,0,2,0,16,18,4,0,38
682,Andhra pradesh,ANANTAPUR,2002,0,3,0,0,0,1,32,25,0,51,35,1,112
683,Andhra pradesh,CHITTOOR,2002,1,5,0,0,0,0,22,27,1,40,28,0,96
684,Andhra pradesh,CUDDAPAH,2002,0,3,1,0,0,0,20,14,2,47,24,0,87
685,Andhra pradesh,EAST GODAVARI,2002,2,4,0,0,0,0,26,16,52,0,32,0,100
686,Andhra pradesh,GUNTAKAL RLY.,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
687,Andhra pradesh,GUNTUR,2002,1,4,0,0,0,0,31,4,2,38,36,0,80
688,Andhra pradesh,HYDERABAD CITY,2002,0,1,0,0,0,0,0,36,5,35,1,0,77
689,Andhra pradesh,KARIMNAGAR,2002,12,9,5,0,0,0,111,80,11,292,137,0,520
690,Andhra pradesh,KHAMMAM,2002,2,3,0,0,0,0,6,25,5,51,11,0,92
691,Andhra pradesh,KRISHNA,2002,7,5,1,0,0,1,25,22,153,136,38,1,350
692,Andhra pradesh,KURNOOL,2002,1,7,0,0,0,0,15,90,24,18,23,0,155
693,Andhra pradesh,MAHABOOBNAGAR,2002,8,12,0,0,0,2,0,64,23,82,20,2,191
694,Andhra pradesh,MEDAK,2002,0,5,1,0,0,0,4,70,1,65,10,0,146
695,Andhra pradesh,NALGONDA,2002,0,2,0,0,0,0,1,36,3,5,3,0,47
696,Andhra pradesh,NELLORE,2002,0,4,2,0,0,0,21,124,0,57,27,0,208
697,Andhra pradesh,NIZAMABAD,2002,0,5,0,0,0,0,6,13,0,38,11,0,62
698,Andhra pradesh,PRAKASHAM,2002,3,0,0,0,0,0,47,19,4,30,50,0,103
699,Andhra pradesh,RANGA REDDY,2002,19,8,4,0,2,7,96,38,17,50,127,9,241
700,Andhra pradesh,SECUNDERABAD RLY.,2002,0,0,0,0,0,0,0,2,0,0,0,0,2
701,Andhra pradesh,SRIKAKULAM,2002,1,3,0,0,0,0,10,14,12,37,14,0,77
702,Andhra pradesh,VIJAYAWADA,2002,2,4,1,0,1,0,51,7,24,23,58,1,113
703,Andhra pradesh,VIJAYAWADA RLY.,2002,0,0,0,0,0,0,0,0,4,1,0,0,5
704,Andhra pradesh,VISAKHA RURAL,2002,0,0,0,0,0,0,10,7,31,42,10,0,90
705,Andhra pradesh,VISAKHAPATNAM,2002,0,0,0,0,0,0,0,5,4,7,0,0,16
706,Andhra pradesh,VIZIANAGARAM,2002,0,1,0,0,0,1,0,13,38,55,1,1,108
